_id	Month Year	Age	Sex	Homicide (Murder)	Other Homicide	Attempted Murder	Conspiracy to Murder	Manslaughter (excl. by driving)	Manslaughter Unlawful Striking Causing Death	Driving Causing Death	Assault	Grievous Assault	Serious Assault	Serious Assault (Other)	Common Assault'	Sexual Offences	Rape and Attempted Rape	Other Sexual Offences	Robbery	Armed Robbery	Unarmed Robbery	Other Offences Against the Person	Kidnapping & Abduction etc.	Extortion	Stalking	Life Endangering Acts	Offences Against the Person	Unlawful Entry	Unlawful Entry With Intent - Dwelling	Unlawful Entry Without Violence - Dwelling	Unlawful Entry With Violence - Dwelling	Unlawful Entry With Intent - Shop	Unlawful Entry With Intent - Other	Arson	Other Property Damage	Unlawful Use of Motor Vehicle	Other Theft (excl. Unlawful Entry)	Stealing from Dwellings	Shop Stealing	Vehicles (steal from/enter with intent)	Other Stealing	Fraud	Fraud by Computer	Fraud by Cheque	Fraud by Credit Card	Identity Fraud	Other Fraud	Handling Stolen Goods	Possess Property Suspected Stolen	Receiving Stolen Property	Possess etc. Tainted Property	Other Handling Stolen Goods	Offences Against Property	Drug Offences	Trafficking Drugs	Possess Drugs	Produce Drugs	Sell Supply Drugs	Other Drug Offences	Prostitution Offences	Found in Places Used for Purpose of Prostitution Offences	Have Interest in Premises Used for Prostitution Offences	Knowingly Participate in Provision Prostitution Offences	Public Soliciting	Procuring Prostitution	Permit Minor to be at a Place Used for Prostitution Offences	Advertising Prostitution	Other Prostitution Offences	Liquor (excl. Drunkenness)	Gaming Racing & Betting Offences	Breach Domestic Violence Protection Order	Trespassing and Vagrancy	Weapons Act Offences	Unlawful Possess Concealable Firearm	Unlawful Possess Firearm - Other	Bomb Possess and/or use of	Possess and/or use other weapons; restricted items	Weapons Act Offences - Other	Good Order Offences	Disobey Move-on Direction	Resist Incite Hinder Obstruct Police	Fare Evasion	Public Nuisance	Stock Related Offences	Traffic and Related Offences	Dangerous Operation of a Vehicle	Drink Driving	Disqualified Driving	Interfere with Mechanism of Motor Vehicle	Miscellaneous Offences	Other Offences
1	JAN01	Adult	Female	0	1	1	0	0	0	0	156	12	54	15	75	3	0	3	11	6	5	15	1	0	2	12	186	70	58	48	10	4	8	1	76	43	299	19	206	17	57	268	0	43	55	0	170	75	11	26	37	1	832	482	3	214	28	9	228	46	7	1	3	35	0	0	0	0	11	1	31	15	35	3	10	0	15	7	333	3	137	14	179	0	341	9	302	30	0	10	1305
2	JAN01	Adult	Male	7	17	14	0	0	0	3	681	36	329	70	246	173	36	137	71	55	16	123	16	4	18	85	1072	744	441	400	41	108	195	15	623	257	880	87	232	240	321	609	0	144	77	0	388	345	65	85	187	8	3473	1727	11	800	120	71	725	10	1	1	3	5	0	0	0	0	44	1	369	106	292	19	72	3	104	94	1432	5	602	29	796	3	1953	73	1516	361	3	53	5990
3	JAN01	Adult	Not Stated	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2
4	JAN01	Juvenile	Female	0	0	0	0	0	0	0	54	1	21	4	28	0	0	0	4	3	1	2	0	0	0	2	60	59	25	24	1	7	27	2	104	37	421	10	321	45	45	32	0	0	14	0	18	38	4	17	16	1	693	64	0	29	2	0	33	8	0	0	0	8	0	0	0	0	12	0	1	14	2	0	0	0	2	0	87	2	30	4	51	0	10	1	9	0	0	6	204
5	JAN01	Juvenile	Male	0	2	2	0	0	0	0	131	4	61	13	53	19	1	18	21	10	11	11	2	0	2	7	184	676	272	266	6	151	253	6	554	203	634	38	247	187	162	33	0	0	13	0	20	101	24	36	41	0	2207	259	0	124	11	4	120	0	0	0	0	0	0	0	0	0	39	0	0	106	39	0	10	3	19	7	308	5	97	81	125	0	81	19	53	9	0	36	868
6	JAN01	Juvenile	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	FEB01	Adult	Female	2	3	1	0	1	0	1	139	11	53	18	57	1	0	1	6	3	3	18	0	0	7	11	169	72	56	48	8	5	11	2	54	31	314	13	192	31	78	295	0	75	62	0	158	80	15	20	45	0	848	462	2	196	21	12	231	34	11	3	5	14	0	0	0	1	9	0	36	11	33	4	4	0	13	12	307	3	122	11	171	1	336	4	309	23	0	9	1238
8	FEB01	Adult	Male	5	9	7	0	1	0	1	577	33	278	38	228	159	38	121	52	42	10	96	15	1	21	59	898	673	379	336	43	83	211	14	635	260	893	53	211	268	361	617	0	141	112	0	364	296	46	78	163	9	3388	1771	13	757	127	57	817	18	4	3	9	2	0	0	0	0	36	0	354	102	288	17	80	1	97	93	1219	14	520	16	669	4	1860	65	1498	296	1	61	5713
9	FEB01	Adult	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
10	FEB01	Juvenile	Female	0	0	0	0	0	0	0	59	0	23	7	29	1	0	1	4	1	3	5	0	0	0	5	69	86	57	57	0	5	24	0	191	57	411	8	183	198	22	13	0	1	1	0	11	22	5	10	7	0	780	62	0	29	0	3	30	6	0	0	0	6	0	0	0	0	11	0	0	16	1	0	0	0	1	0	96	1	37	11	47	0	8	0	6	2	0	2	202
11	FEB01	Juvenile	Male	0	0	0	0	0	0	0	132	7	67	10	48	28	5	23	24	8	16	16	3	0	1	12	200	470	157	154	3	98	215	5	429	164	604	24	233	180	167	32	0	2	6	0	24	112	25	45	42	0	1816	278	1	137	6	14	120	0	0	0	0	0	0	0	0	0	35	0	4	126	42	1	7	4	21	9	245	1	97	40	107	0	68	11	47	10	0	25	823
12	FEB01	Juvenile	Not Stated	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	MAR01	Adult	Female	0	1	1	0	0	0	0	137	11	45	15	66	3	1	2	6	4	2	17	2	0	3	12	164	76	44	38	6	15	17	1	74	35	358	14	221	36	87	328	0	76	117	0	135	87	12	17	56	2	959	484	1	225	21	18	219	36	12	0	1	20	1	0	0	2	13	0	32	18	30	2	3	0	20	5	335	7	132	13	183	0	382	10	341	31	0	12	1342
14	MAR01	Adult	Male	5	11	9	0	0	0	2	694	38	324	62	270	181	38	143	67	53	14	124	22	1	28	73	1082	744	382	350	32	144	218	10	636	246	986	59	267	374	286	701	0	157	233	0	311	308	73	55	171	9	3631	1932	7	910	124	52	839	11	5	1	3	1	1	0	0	0	79	0	392	94	280	22	66	4	106	82	1479	19	618	34	808	0	2156	76	1697	380	3	55	6478
15	MAR01	Adult	Not Stated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
